X=0.82, Y=0.45, Roll=4.7, Pitch=4.6, Yaw=84.8, State=APPROACH, Goal=False, Color=青
X=1.73, Y=-0.29, Roll=0.8, Pitch=3.4, Yaw=31.4, State=APPROACH, Goal=False, Color=
X=1.02, Y=-0.17, Roll=3.1, Pitch=-1.5, Yaw=165.1, State=APPROACH, Goal=True, Color=青
X=0.49, Y=-0.25, Roll=0.8, Pitch=-0.6, Yaw=16.2, State=APPROACH, Goal=False, Color=
X=0.84, Y=-0.57, Roll=-3.0, Pitch=-2.5, Yaw=360.0, State=APPROACH, Goal=True, Color=
X=0.12, Y=-1.22, Roll=4.4, Pitch=-0.8, Yaw=318.5, State=SEARCH, Goal=True, Color=青
X=0.65, Y=-0.56, Roll=4.9, Pitch=-2.8, Yaw=216.0, State=GOAL, Goal=False, Color=
X=1.52, Y=-1.14, Roll=-0.8, Pitch=4.5, Yaw=286.1, State=APPROACH, Goal=False, Color=
X=2.36, Y=-2.12, Roll=4.2, Pitch=4.6, Yaw=353.2, State=APPROACH, Goal=False, Color=
X=1.98, Y=-1.33, Roll=-3.9, Pitch=3.8, Yaw=12.0, State=APPROACH, Goal=True, Color=赤
X=1.70, Y=-2.18, Roll=-3.9, Pitch=-0.9, Yaw=215.5, State=APPROACH, Goal=False, Color=青
X=2.19, Y=-2.13, Roll=-1.6, Pitch=-2.5, Yaw=113.7, State=APPROACH, Goal=False, Color=
X=1.20, Y=-1.22, Roll=3.2, Pitch=-1.3, Yaw=181.6, State=GOAL, Goal=True, Color=青
X=0.31, Y=-2.03, Roll=0.0, Pitch=-0.7, Yaw=13.0, State=SEARCH, Goal=False, Color=緑
X=-0.40, Y=-3.00, Roll=1.8, Pitch=1.9, Yaw=305.7, State=APPROACH, Goal=True, Color=緑
X=0.40, Y=-2.98, Roll=4.2, Pitch=3.6, Yaw=121.2, State=SEARCH, Goal=False, Color=
X=0.55, Y=-3.31, Roll=-4.2, Pitch=0.9, Yaw=36.5, State=GOAL, Goal=True, Color=青
X=0.92, Y=-2.72, Roll=3.5, Pitch=-4.8, Yaw=322.9, State=SEARCH, Goal=True, Color=緑
X=0.36, Y=-3.28, Roll=-0.3, Pitch=-4.9, Yaw=185.7, State=GOAL, Goal=False, Color=赤
X=0.40, Y=-2.41, Roll=1.6, Pitch=-2.5, Yaw=328.1, State=SEARCH, Goal=True, Color=赤
X=0.96, Y=-2.02, Roll=-1.0, Pitch=-0.4, Yaw=274.3, State=SEARCH, Goal=False, Color=青
X=1.08, Y=-2.16, Roll=-4.4, Pitch=-4.6, Yaw=337.4, State=GOAL, Goal=False, Color=青
X=1.29, Y=-2.44, Roll=-1.1, Pitch=-3.6, Yaw=56.9, State=SEARCH, Goal=False, Color=赤
X=1.28, Y=-1.83, Roll=3.7, Pitch=3.5, Yaw=278.4, State=GOAL, Goal=False, Color=緑
X=0.36, Y=-2.56, Roll=3.0, Pitch=4.0, Yaw=294.0, State=APPROACH, Goal=True, Color=
X=0.48, Y=-1.84, Roll=3.5, Pitch=3.0, Yaw=275.6, State=SEARCH, Goal=True, Color=青
X=-0.30, Y=-2.67, Roll=-2.8, Pitch=-0.2, Yaw=215.1, State=GOAL, Goal=True, Color=緑
X=-1.22, Y=-2.22, Roll=3.5, Pitch=0.2, Yaw=58.2, State=APPROACH, Goal=True, Color=赤
X=-1.92, Y=-1.80, Roll=-2.2, Pitch=4.5, Yaw=170.9, State=GOAL, Goal=True, Color=赤
X=-2.09, Y=-1.97, Roll=-1.0, Pitch=4.1, Yaw=204.2, State=SEARCH, Goal=False, Color=
X=-2.58, Y=-2.31, Roll=2.7, Pitch=-0.3, Yaw=61.8, State=GOAL, Goal=True, Color=
X=-1.87, Y=-2.73, Roll=4.4, Pitch=-3.6, Yaw=190.8, State=SEARCH, Goal=True, Color=
X=-1.47, Y=-2.26, Roll=4.5, Pitch=-5.0, Yaw=343.0, State=APPROACH, Goal=False, Color=緑
X=-2.17, Y=-1.73, Roll=-1.0, Pitch=2.3, Yaw=162.2, State=SEARCH, Goal=True, Color=赤
X=-3.14, Y=-0.76, Roll=0.6, Pitch=-2.1, Yaw=15.4, State=APPROACH, Goal=True, Color=青
X=-2.38, Y=-0.77, Roll=2.4, Pitch=3.8, Yaw=222.0, State=SEARCH, Goal=True, Color=青
X=-1.46, Y=-0.73, Roll=-3.1, Pitch=-2.6, Yaw=121.1, State=APPROACH, Goal=True, Color=緑
X=-0.64, Y=-0.41, Roll=-2.5, Pitch=-0.7, Yaw=356.5, State=SEARCH, Goal=False, Color=赤
X=-1.16, Y=-0.55, Roll=4.5, Pitch=-2.9, Yaw=255.8, State=GOAL, Goal=False, Color=青
X=-1.29, Y=-0.29, Roll=-3.1, Pitch=-0.5, Yaw=342.8, State=GOAL, Goal=False, Color=緑
X=-1.39, Y=-0.00, Roll=-2.6, Pitch=1.7, Yaw=198.7, State=GOAL, Goal=False, Color=青
X=-2.11, Y=0.35, Roll=0.4, Pitch=-1.9, Yaw=174.0, State=SEARCH, Goal=False, Color=赤
X=-1.68, Y=1.14, Roll=4.2, Pitch=-2.8, Yaw=47.0, State=APPROACH, Goal=True, Color=
X=-1.86, Y=0.51, Roll=2.8, Pitch=-1.6, Yaw=345.2, State=APPROACH, Goal=True, Color=青
X=-2.68, Y=1.17, Roll=1.4, Pitch=1.4, Yaw=23.0, State=GOAL, Goal=False, Color=赤
X=-2.79, Y=0.66, Roll=-2.1, Pitch=1.1, Yaw=80.5, State=SEARCH, Goal=False, Color=赤
X=-3.11, Y=1.18, Roll=-2.7, Pitch=-1.5, Yaw=66.8, State=GOAL, Goal=True, Color=青
X=-2.38, Y=2.07, Roll=-4.7, Pitch=-0.3, Yaw=316.0, State=GOAL, Goal=False, Color=赤
X=-2.02, Y=1.72, Roll=-4.6, Pitch=2.3, Yaw=192.4, State=GOAL, Goal=False, Color=青
X=-2.67, Y=0.92, Roll=2.3, Pitch=0.6, Yaw=240.1, State=APPROACH, Goal=False, Color=青
X=-1.74, Y=0.87, Roll=0.9, Pitch=-0.1, Yaw=7.3, State=APPROACH, Goal=False, Color=青
X=-2.60, Y=0.29, Roll=4.4, Pitch=0.7, Yaw=22.5, State=APPROACH, Goal=False, Color=青
