X=-0.78, Y=-0.39, Roll=1.0, Pitch=-2.0, Yaw=36.8, State=SEARCH, Goal=True, Color=
X=-0.68, Y=-0.16, Roll=-0.3, Pitch=-3.6, Yaw=248.8, State=APPROACH, Goal=False, Color=緑
X=-1.37, Y=-0.20, Roll=2.8, Pitch=3.4, Yaw=338.9, State=SEARCH, Goal=False, Color=青
X=-1.43, Y=0.40, Roll=2.2, Pitch=3.6, Yaw=116.3, State=GOAL, Goal=True, Color=緑
X=-0.84, Y=0.18, Roll=3.7, Pitch=0.2, Yaw=161.1, State=SEARCH, Goal=False, Color=赤
X=-0.73, Y=-0.61, Roll=3.3, Pitch=-4.8, Yaw=334.2, State=APPROACH, Goal=False, Color=青
X=-0.54, Y=-1.33, Roll=-4.3, Pitch=-0.4, Yaw=129.5, State=APPROACH, Goal=True, Color=赤
X=-1.20, Y=-0.80, Roll=0.5, Pitch=1.4, Yaw=256.1, State=SEARCH, Goal=False, Color=緑
X=-2.11, Y=-0.87, Roll=-3.6, Pitch=-1.9, Yaw=251.9, State=APPROACH, Goal=True, Color=緑
X=-1.21, Y=-0.76, Roll=0.4, Pitch=-4.1, Yaw=127.6, State=SEARCH, Goal=True, Color=緑
X=-1.27, Y=-0.09, Roll=4.8, Pitch=4.8, Yaw=201.1, State=APPROACH, Goal=False, Color=緑
X=-1.18, Y=0.02, Roll=4.1, Pitch=-2.1, Yaw=196.7, State=GOAL, Goal=False, Color=緑
X=-1.24, Y=0.72, Roll=-1.7, Pitch=4.7, Yaw=212.2, State=SEARCH, Goal=True, Color=赤
X=-1.04, Y=1.17, Roll=-1.0, Pitch=1.8, Yaw=213.8, State=SEARCH, Goal=False, Color=緑
X=-1.11, Y=0.94, Roll=-3.1, Pitch=-1.1, Yaw=121.9, State=SEARCH, Goal=False, Color=赤
X=-1.40, Y=0.62, Roll=0.1, Pitch=-5.0, Yaw=297.3, State=APPROACH, Goal=True, Color=
X=-0.79, Y=0.83, Roll=0.8, Pitch=-4.0, Yaw=71.0, State=SEARCH, Goal=True, Color=赤
X=-1.33, Y=1.12, Roll=-0.1, Pitch=3.9, Yaw=127.1, State=APPROACH, Goal=True, Color=青
X=-0.80, Y=2.00, Roll=2.8, Pitch=-2.1, Yaw=246.5, State=SEARCH, Goal=False, Color=赤
X=-1.34, Y=1.62, Roll=0.4, Pitch=-0.5, Yaw=307.6, State=SEARCH, Goal=False, Color=青
X=-1.55, Y=2.56, Roll=4.2, Pitch=-2.4, Yaw=147.5, State=SEARCH, Goal=True, Color=赤
X=-2.22, Y=3.24, Roll=-4.5, Pitch=-3.5, Yaw=238.7, State=SEARCH, Goal=True, Color=青
X=-2.36, Y=3.09, Roll=1.0, Pitch=1.7, Yaw=321.2, State=APPROACH, Goal=True, Color=青
X=-2.97, Y=2.84, Roll=-4.8, Pitch=-4.1, Yaw=354.8, State=APPROACH, Goal=False, Color=
X=-3.01, Y=2.05, Roll=-0.7, Pitch=-1.9, Yaw=168.7, State=SEARCH, Goal=True, Color=青
X=-3.20, Y=2.93, Roll=-1.1, Pitch=-0.1, Yaw=282.2, State=APPROACH, Goal=False, Color=
X=-3.83, Y=3.50, Roll=0.8, Pitch=3.3, Yaw=130.6, State=SEARCH, Goal=False, Color=
X=-3.39, Y=4.13, Roll=-3.5, Pitch=3.3, Yaw=249.4, State=SEARCH, Goal=True, Color=青
X=-2.43, Y=3.40, Roll=0.1, Pitch=1.4, Yaw=172.2, State=APPROACH, Goal=False, Color=青
X=-1.85, Y=3.46, Roll=2.7, Pitch=2.9, Yaw=14.1, State=GOAL, Goal=True, Color=
X=-1.80, Y=4.00, Roll=-5.0, Pitch=-2.3, Yaw=197.8, State=SEARCH, Goal=True, Color=赤
